Time	CPU	Memory	Temperature
Fri Jan  5 15:00:02 2024	3.917793	59.753674	51.120998
Fri Jan  5 15:00:03 2024	3.916561	59.753674	51.120998
Fri Jan  5 15:00:04 2024	3.915329	59.753674	51.608002
Fri Jan  5 15:00:05 2024	3.914325	59.753674	50.633999
Fri Jan  5 15:00:06 2024	3.913249	59.753674	52.095001
Fri Jan  5 15:00:07 2024	3.912886	59.779625	51.120998
Fri Jan  5 15:00:08 2024	3.911653	59.779625	51.120998
Fri Jan  5 15:00:09 2024	3.910422	59.779625	52.095001
Fri Jan  5 15:00:10 2024	3.909191	59.779625	51.608002
Fri Jan  5 15:00:11 2024	3.908049	59.779625	51.120998
Fri Jan  5 15:00:12 2024	3.908565	59.792603	51.120998
Fri Jan  5 15:00:13 2024	3.912062	59.792603	50.633999
Fri Jan  5 15:00:14 2024	3.910835	59.792603	51.608002
Fri Jan  5 15:00:15 2024	3.909921	59.792603	52.095001
Fri Jan  5 15:00:16 2024	3.908768	59.792603	50.633999
Fri Jan  5 15:00:17 2024	3.907543	59.792603	52.582001
Fri Jan  5 15:00:18 2024	3.906552	59.773548	51.608002
Fri Jan  5 15:00:19 2024	3.905408	59.773136	51.608002
Fri Jan  5 15:00:20 2024	3.904572	59.773136	51.608002
Fri Jan  5 15:00:21 2024	3.903670	59.773136	51.608002
Fri Jan  5 15:00:22 2024	3.903001	59.773136	50.633999
Fri Jan  5 15:00:23 2024	3.902175	59.773136	50.633999
Fri Jan  5 15:00:24 2024	3.901266	59.773136	51.120998
Fri Jan  5 15:00:25 2024	3.900369	59.773136	50.633999
Fri Jan  5 15:00:26 2024	3.899618	59.773136	50.633999
Fri Jan  5 15:00:27 2024	3.898556	59.773136	50.633999
Fri Jan  5 15:00:28 2024	3.897412	59.773136	50.633999
Fri Jan  5 15:00:29 2024	3.896192	59.773136	52.095001
Fri Jan  5 15:00:30 2024	3.895756	59.792603	50.633999
Fri Jan  5 15:00:31 2024	3.894616	59.792603	50.633999
Fri Jan  5 15:00:32 2024	3.893717	59.805576	51.120998
Fri Jan  5 15:00:33 2024	3.892819	59.805576	49.660000
Fri Jan  5 15:00:34 2024	3.891843	59.805576	50.633999
Fri Jan  5 15:00:35 2024	3.890793	59.805576	50.146999
Fri Jan  5 15:00:36 2024	3.889888	59.805576	51.120998
